208. MAZOWIECKIE; Wiązowna; gmina wiejska
209. MAZOWIECKIE; piaseczyński; powiat
210. MAZOWIECKIE; Góra Kalwaria; gmina miejsko-wiejska
211. MAZOWIECKIE; Góra Kalwaria; miasto
212. MAZOWIECKIE; Góra Kalwaria; obszar wiejski
213. MAZOWIECKIE; Konstancin-Jeziorna; gmina miejsko-wiejska
214. MAZOWIECKIE; Konstancin-Jeziorna; miasto
215. MAZOWIECKIE; Konstancin-Jeziorna; obszar wiejski
216. MAZOWIECKIE; Lesznowola; gmina wiejska
217. MAZOWIECKIE; Piaseczno; gmina miejsko-wiejska
218. MAZOWIECKIE; Piaseczno; miasto
219. MAZOWIECKIE; Piaseczno; obszar wiejski
220. MAZOWIECKIE; Prażmów; gmina wiejska
221. MAZOWIECKIE; Tarczyn; gmina miejsko-wiejska
222. MAZOWIECKIE; Tarczyn; miasto
223. MAZOWIECKIE; Tarczyn; obszar wiejski
224. MAZOWIECKIE; płocki; powiat
225. MAZOWIECKIE; Bielsk; gmina wiejska
226. MAZOWIECKIE; Bodzanów; gmina wiejska
227. MAZOWIECKIE; Brudzeń Duży; gmina wiejska
228. MAZOWIECKIE; Bulkowo; gmina wiejska
229. MAZOWIECKIE; Drobin; gmina miejsko-wiejska
230. MAZOWIECKIE; Drobin; miasto
231. MAZOWIECKIE; Drobin; obszar wiejski
232. MAZOWIECKIE; Gąbin; gmina miejsko-wiejska
233. MAZOWIECKIE; Gąbin; miasto
234. MAZOWIECKIE; Gąbin; obszar wiejski
235. MAZOWIECKIE; Łąck; gmina wiejska
236. MAZOWIECKIE; Mała Wieś; gmina wiejska
237. MAZOWIECKIE; Nowy Duninów; gmina wiejska
238. MAZOWIECKIE; Radzanowo; gmina wiejska
239. MAZOWIECKIE; Słubice; gmina wiejska
240. MAZOWIECKIE; Słupno; gmina wiejska
241. MAZOWIECKIE; Stara Biała; gmina wiejska
242. MAZOWIECKIE; Staroźreby; gmina wiejska
243. MAZOWIECKIE; Wyszogród; gmina miejsko-wiejska
244. MAZOWIECKIE; Wyszogród; miasto
245. MAZOWIECKIE; Wyszogród; obszar wiejski
246. MAZOWIECKIE; płoński; powiat
247. MAZOWIECKIE; Płońsk; gmina miejska
248. MAZOWIECKIE; Raciąż; gmina miejska
249. MAZOWIECKIE; Baboszewo; gmina wiejska
250. MAZOWIECKIE; Czerwińsk nad Wisłą; gmina miejsko-wiejska
251. MAZOWIECKIE; Czerwińsk nad Wisłą; miasto
252. MAZOWIECKIE; Czerwińsk nad Wisłą; obszar wiejski
253. MAZOWIECKIE; Dzierzążnia; gmina wiejska
254. MAZOWIECKIE; Joniec; gmina wiejska
255. MAZOWIECKIE; Naruszewo; gmina wiejska
256. MAZOWIECKIE; Nowe Miasto; gmina wiejska
257. MAZOWIECKIE; Płońsk; gmina wiejska
258. MAZOWIECKIE; Raciąż; gmina wiejska
259. MAZOWIECKIE; Sochocin; gmina wiejska
260. MAZOWIECKIE; Załuski; gmina wiejska
261. MAZOWIECKIE; pruszkowski; powiat
262. MAZOWIECKIE; Piastów; gmina miejska
263. MAZOWIECKIE; Pruszków; gmina miejska
264. MAZOWIECKIE; Brwinów; gmina miejsko-wiejska
265. MAZOWIECKIE; Brwinów; miasto
266. MAZOWIECKIE; Brwinów; obszar wiejski
267. MAZOWIECKIE; Michałowice; gmina wiejska
268. MAZOWIECKIE; Nadarzyn; gmina wiejska
269. MAZOWIECKIE; Raszyn; gmina wiejska
270. MAZOWIECKIE; przasnyski; powiat
271. MAZOWIECKIE; Przasnysz; gmina miejska
272. MAZOWIECKIE; Chorzele; gmina miejsko-wiejska
273. MAZOWIECKIE; Chorzele; miasto
274. MAZOWIECKIE; Chorzele; obszar wiejski
275. MAZOWIECKIE; Czernice Borowe; gmina wiejska
276. MAZOWIECKIE; Jednorożec; gmina wiejska
277. MAZOWIECKIE; Krasne; gmina wiejska
278. MAZOWIECKIE; Krzynowłoga Mała; gmina wiejska
279. MAZOWIECKIE; Przasnysz; gmina wiejska
280. MAZOWIECKIE; przysuski; powiat
281. MAZOWIECKIE; Borkowice; gmina wiejska
282. MAZOWIECKIE; Gielniów; gmina wiejska
283. MAZOWIECKIE; Klwów; gmina wiejska
284. MAZOWIECKIE; Odrzywół; gmina wiejska
285. MAZOWIECKIE; Potworów; gmina wiejska
286. MAZOWIECKIE; Przysucha; gmina miejsko-wiejska
287. MAZOWIECKIE; Przysucha; miasto
288. MAZOWIECKIE; Przysucha; obszar wiejski
289. MAZOWIECKIE; Rusinów; gmina wiejska
290. MAZOWIECKIE; Wieniawa; gmina wiejska
291. MAZOWIECKIE; pułtuski; powiat
292. MAZOWIECKIE; Gzy; gmina wiejska
293. MAZOWIECKIE; Obryte; gmina wiejska
294. MAZOWIECKIE; Pokrzywnica; gmina wiejska
295. MAZOWIECKIE; Pułtusk; gmina miejsko-wiejska
296. MAZOWIECKIE; Pułtusk; miasto
297. MAZOWIECKIE; Pułtusk; obszar wiejski
298. MAZOWIECKIE; Świercze; gmina wiejska
299. MAZOWIECKIE; Winnica; gmina wiejska
300. MAZOWIECKIE; Zatory; gmina wiejska
301. MAZOWIECKIE; radomski; powiat
302. MAZOWIECKIE; Pionki; gmina miejska
303. MAZOWIECKIE; Gózd; gmina wiejska
304. MAZOWIECKIE; Iłża; gmina miejsko-wiejska
305. MAZOWIECKIE; Iłża; miasto
306. MAZOWIECKIE; Iłża; obszar wiejski
307. MAZOWIECKIE; Jastrzębia; gmina wiejska
308. MAZOWIECKIE; Jedlińsk; gmina wiejska
309. MAZOWIECKIE; Jedlnia-Letnisko; gmina wiejska
310. MAZOWIECKIE; Kowala; gmina wiejska
311. MAZOWIECKIE; Pionki; gmina wiejska
312. MAZOWIECKIE; Przytyk; gmina wiejska
313. MAZOWIECKIE; Skaryszew; gmina miejsko-wiejska
314. MAZOWIECKIE; Skaryszew; miasto
315. MAZOWIECKIE; Skaryszew; obszar wiejski
316. MAZOWIECKIE; Wierzbica; gmina wiejska
317. MAZOWIECKIE; Wolanów; gmina wiejska
318. MAZOWIECKIE; Zakrzew; gmina wiejska
319. MAZOWIECKIE; siedlecki; powiat
320. MAZOWIECKIE; Domanice; gmina wiejska
321. MAZOWIECKIE; Korczew; gmina wiejska
322. MAZOWIECKIE; Kotuń; gmina wiejska
323. MAZOWIECKIE; Mokobody; gmina wiejska
324. MAZOWIECKIE; Mordy; gmina miejsko-wiejska
325. MAZOWIECKIE; Mordy; miasto
326. MAZOWIECKIE; Mordy; obszar wiejski
327. MAZOWIECKIE; Paprotnia; gmina wiejska
328. MAZOWIECKIE; Przesmyki; gmina wiejska
329. MAZOWIECKIE; Siedlce; gmina wiejska
330. MAZOWIECKIE; Skórzec; gmina wiejska
